congress,chamber,icpsr,st,dist,namelast,CD
109,H,20300,AL,1,BONNER,AL-1
109,H,20301,AL,3,ROGERS,AL-3
109,H,20302,AL,7,DAVIS,AL-7
109,H,29100,AL,5,CRAMER,AL-5
109,H,29300,AL,2,EVERETT,AL-2
109,H,29301,AL,6,BACHUS,AL-6
109,H,29701,AL,4,ADERHOLT,AL-4
109,H,14066,AK,1,YOUNG,AK-1
109,H,15105,AZ,8,KOLBE,AZ-8
109,H,20100,AZ,6,FLAKE,AZ-6
109,H,20303,AZ,1,RENZI,AZ-1
109,H,20304,AZ,2,FRANKS,AZ-2
109,H,20305,AZ,7,GRIJALVA,AZ-7
109,H,29101,AZ,4,PASTOR,AZ-4
109,H,29501,AZ,3,SHADEGG,AZ-3
109,H,29502,AZ,5,HAYWORTH,AZ-5
109,H,20101,AR,3,BOOZMAN,AR-3
109,H,20102,AR,4,ROSS,AR-4
109,H,29702,AR,1,BERRY,AR-1
109,H,29703,AR,2,SNYDER,AR-2
109,H,14053,CA,13,STARK,CA-13
109,H,14256,CA,7,MILLER,CA-7
109,H,14280,CA,30,WAXMAN,CA-30
109,H,14644,CA,41,LEWIS,CA-41
109,H,14647,CA,3,LUNGREN,CA-3
109,H,14669,CA,22,THOMAS,CA-22
109,H,14813,CA,26,DREIER,CA-26
109,H,14835,CA,52,HUNTER,CA-52
109,H,14837,CA,12,LANTOS,CA-12
109,H,15005,CA,28,BERMAN,CA-28
109,H,15413,CA,24,GALLEGLY,CA-24
109,H,15420,CA,2,HERGER,CA-2
109,H,15448,CA,8,PELOSI,CA-8
109,H,15601,CA,48,COX,CA-48
109,H,15621,CA,46,ROHRABACHER,CA-46
109,H,20103,CA,15,HONDA,CA-15
109,H,20104,CA,29,SCHIFF,CA-29
109,H,20105,CA,32,SOLIS,CA-32
109,H,20106,CA,33,WATSON,CA-33
109,H,20107,CA,49,ISSA,CA-49
109,H,20108,CA,53,DAVIS,CA-53
109,H,20306,CA,18,CARDOZA,CA-18
109,H,20307,CA,21,NUNES,CA-21
109,H,20310,CA,39,SÁNCHEZ,CA-39
109,H,20501,CA,20,COSTA,CA-20
109,H,20538,CA,5,MATSUI,CA-5
109,H,20539,CA,48,CAMPBELL,CA-48
109,H,29104,CA,4,DOOLITTLE,CA-4
109,H,29106,CA,35,WATERS,CA-35
