congress,chamber,icpsr,st,namelast,dist
109,S,1366,WV,BYRD,NA
110,S,1366,WV,BYRD,NA
111,S,1366,WV,BYRD,NA
109,S,4812,HI,INOUYE,NA
110,S,4812,HI,INOUYE,NA
111,S,4812,HI,INOUYE,NA
112,S,4812,HI,INOUYE,NA
109,S,10808,MA,KENNEDY,NA
110,S,10808,MA,KENNEDY,NA
111,S,10808,MA,KENNEDY,NA
109,S,12109,AK,STEVENS,NA
110,S,12109,AK,STEVENS,NA
109,S,13039,MD,SARBANES,NA
109,S,14009,MS,COCHRAN,NA
110,S,14009,MS,COCHRAN,NA
111,S,14009,MS,COCHRAN,NA
112,S,14009,MS,COCHRAN,NA
113,S,14009,MS,COCHRAN,NA
114,S,14009,MS,COCHRAN,NA
115,S,14009,MS,COCHRAN,NA
109,S,14031,MS,LOTT,NA
110,S,14031,MS,LOTT,NA
109,S,14101,DE,BIDEN,NA
110,S,14101,DE,BIDEN,NA
111,S,14101,DE,BIDEN,NA
109,S,14103,NM,DOMENICI,NA
110,S,14103,NM,DOMENICI,NA
109,S,14203,MT,BAUCUS,NA
110,S,14203,MT,BAUCUS,NA
111,S,14203,MT,BAUCUS,NA
112,S,14203,MT,BAUCUS,NA
113,S,14203,MT,BAUCUS,NA
109,S,14213,CT,DODD,NA
110,S,14213,CT,DODD,NA
111,S,14213,CT,DODD,NA
109,S,14226,IA,GRASSLEY,NA
110,S,14226,IA,GRASSLEY,NA
111,S,14226,IA,GRASSLEY,NA
112,S,14226,IA,GRASSLEY,NA
113,S,14226,IA,GRASSLEY,NA
114,S,14226,IA,GRASSLEY,NA
115,S,14226,IA,GRASSLEY,NA
116,S,14226,IA,GRASSLEY,NA
117,S,14226,IA,GRASSLEY,NA
118,S,14226,IA,GRASSLEY,NA
109,S,14230,IA,HARKIN,NA
110,S,14230,IA,HARKIN,NA
111,S,14230,IA,HARKIN,NA
112,S,14230,IA,HARKIN,NA
113,S,14230,IA,HARKIN,NA
109,S,14307,VT,LEAHY,NA
110,S,14307,VT,LEAHY,NA
111,S,14307,VT,LEAHY,NA
112,S,14307,VT,LEAHY,NA
113,S,14307,VT,LEAHY,NA
114,S,14307,VT,LEAHY,NA
115,S,14307,VT,LEAHY,NA
116,S,14307,VT,LEAHY,NA
117,S,14307,VT,LEAHY,NA
109,S,14400,HI,AKAKA,NA
110,S,14400,HI,AKAKA,NA
111,S,14400,HI,AKAKA,NA
112,S,14400,HI,AKAKA,NA
113,S,14435,MA,MARKEY,NA
114,S,14435,MA,MARKEY,NA
115,S,14435,MA,MARKEY,NA
116,S,14435,MA,MARKEY,NA
117,S,14435,MA,MARKEY,NA
118,S,14435,MA,MARKEY,NA
