year,size,size_factor
2006,36421,1.1103963414634146
2007,9999,0.3048475609756098
2008,32800,1
2009,13800,0.42073170731707316
2010,55400,1.6890243902439024
2011,20150,0.614329268292683
2012,54535,1.6626524390243902
2013,16400,0.5
2014,56200,1.7134146341463414
2015,14250,0.4344512195121951
2016,64600,1.9695121951219512
2017,18200,0.5548780487804879
2018,60000,1.829268292682927
2019,18000,0.5487804878048781
2020,61000,1.8597560975609757
2021,25700,0.7835365853658537
2022,60000,1.829268292682927
2023,24500,0.7469512195121951
2024,60000,1.829268292682927
