section14,rowID,code14,code16,label16
Sample Identifiers,1,,V101,Case ID
Sample Identifiers,2,V103,commonweight,Common content weights
Sample Identifiers,3,,commonweight_post,Common content weights (post survey)
Sample Identifiers,4,,lookupzip,Pre Election Survey Respondent Zip Code
Sample Identifiers,5,,inputstate,Pre Election State Name
Sample Identifiers,6,,cdid113,CD 113th/114th Congress- post
Sample Identifiers,7,,cdid115,CD 115th Congress - post
Sample Identifiers,8,,countyfips,County FIPS code
Sample Identifiers,9,,countyname,County Name
Sample Identifiers,10,,inputstate_post,Post Election State Name
Sample Identifiers,11,,cdid113_post,CD 113th/114th Congress
Sample Identifiers,12,,cdid115_post,CD 115th Congress
Sample Identifiers,13,,countyfips_post,County FIPS code- post
Sample Identifiers,14,,countyname_post,County Name- post
Profile,15,birthyr,birthyr,Birth Year
Profile,16,gender,gender,Gender
Profile,17,,sexuality,Sexual Orientation
Profile,18,,trans,Transgender
Profile,19,educ,educ,Education
Profile,20,,edloan,Student debtor
Profile,21,,votereg,Voter Registration Status
Profile,22,,regzip,Zip code where registered
Profile,23,,votereg_f,Registered to vote
Profile,24,race,race,Race
Profile,25,,race_other,"Race, other"
Profile,26,,multrace_1,Multi-racial - White
Profile,27,,multrace_2,Multi-racial - Black
Profile,28,,multrace_3,Multi-racial - Hispanic
Profile,29,,multrace_4,Multi-racial - Asian
Profile,30,,multrace_5,Multi-racial - Native American
Profile,31,,multrace_8,Multi-racial - Middle Eastern
Profile,32,,multrace_97,Multi-racial - Other
Profile,33,,multrace_98,Multi-racial - Don't know
Profile,34,,multrace_99,Multi-racial - None of these
Profile,35,hispanic,hispanic,"Spanish, Latino or Hispanic origin or descent"
Profile,36,,Hispanic_origin_1,Hispanic_origin - No country in Particular
Profile,37,,Hispanic_origin_2,Hispanic_origin - United States
Profile,38,,Hispanic_origin_3,Hispanic_origin - Mexico
Profile,39,,Hispanic_origin_4,Hispanic_origin - Puerto Rico
Profile,40,,Hispanic_origin_5,Hispanic_origin - Cuba
Profile,41,,Hispanic_origin_6,Hispanic_origin - Dominican Republic
Profile,42,,Hispanic_origin_7,Hispanic_origin - South America
Profile,43,,Hispanic_origin_8,Hispanic_origin - Central America
Profile,44,,Hispanic_origin_9,Hispanic_origin - Caribbean
Profile,45,,Hispanic_origin_10,Hispanic_origin - Spain
Profile,46,,Hispanic_origin_11,Hispanic_origin - Other
Profile,47,,Hispanic_origin_12,"Hispanic_origin - I am not of Latino, Hispanic or Spanish Heritage"
Profile,48,,Hispanic_origin_t,Hispanic_origin - None
Profile,49,,Asian_origin_1,Asian_origin - No Country in Particular
Profile,50,,Asian_origin_2,Asian_origin - United States
Profile,51,,Asian_origin_3,Asian_origin - China
Profile,52,,Asian_origin_4,Asian_origin - Japan
Profile,53,,Asian_origin_5,Asian_origin - India
Profile,54,,Asian_origin_6,Asian_origin - Philippines
Profile,55,,Asian_origin_7,Asian_origin - Taiwan
Profile,56,,Asian_origin_8,Asian_origin - Korea
Profile,57,,Asian_origin_9,Asian_origin - Vietnam
Profile,58,,Asian_origin_10,Asian_origin - Pakistan
Profile,59,,Asian_origin_11,Asian_origin - Hmong
Profile,60,,Asian_origin_12,Asian_origin - Cambodia
Profile,61,,Asian_origin_13,Asian_origin - Thailand
Profile,62,,Asian_origin_14,Asian_origin - Other
Profile,63,,Asian_origin_15,Asian_origin - I am not of Asian Heritage
Profile,64,,Asian_origin_t,Asian_origin - None
Profile,65,empoy,employ,Employment Status
Profile,66,,employ_t,Employment Status - open
Profile,67,hadjob,hadjob,Had a Job
Profile,68,,whatkindofwork,$whatkindofworktext
Profile,69,,jobactivities,$jobactivitiestext
Profile,70,industryclass,industryclass,Industry classification
Profile,71,phone,phone,Phone Service
Profile,72,internethome,internethome,Internet Access at Home
Profile,73,internetwork,internetwork,Internet Access at Work
Profile,74,marstat,marstat,Marital Status
Profile,75,pid7,pid7,7 point party ID
Profile,76,pid3,pid3,3 point Party ID
Profile,77,,pid3_t,3 point party ID - other
Profile,78,ideo5,ideo5,Ideology
