given_order,group,subgroup,variable,name,wording,filter,hide_bind,sk_notes
1,Administration,Identifier,V101,Case Identifier for 2014 dataverse version,,,,
2,Administration,Weights,weight,Survey Weight,,,,
3,Geography,CD,cdid,Congressional district number (post),,,,
4,Geography,Zip,lookupzip,Zipcode,,,,"I don't know what ""lookup"" means in this context -- it is an importatnt thing to know for users, though!"
5,Geography,County,countyname,County name,,,,
6,Geography,County,countyfips,County FIPS code,,,,
7,Contextual,Governor,CurrentGovName,,,,hide,
8,Contextual,Governor,CurrentGovParty,,,,hide,
9,Contextual,House,CurrentHouseGender,,,,hide,
10,Contextual,House,CurrentHouseName,,,,hide,
11,Contextual,House,CurrentHouseParty,,,,hide,
12,Contextual,Senate,CurrentSen1Gender,,,,hide,
13,Contextual,Senate,CurrentSen1Name,,,,hide,
14,Contextual,Senate,CurrentSen1Party,,,,hide,
15,Contextual,Senate,CurrentSen2Gender,,,,hide,
16,Contextual,Senate,CurrentSen2Name,,,,hide,
17,Contextual,Senate,CurrentSen2Party,,,,hide,
18,Contextual,Governor,GovCand1Incumbent,,,,hide,
19,Contextual,Governor,GovCand1Name,,,,hide,
20,Contextual,Governor,GovCand1Party,,,,hide,
21,Contextual,Governor,GovCand2Incumbent,,,,hide,
22,Contextual,Governor,GovCand2Name,,,,hide,
23,Contextual,Governor,GovCand2Party,,,,hide,
24,Contextual,House,HouseCand1Gender,,,,hide,
25,Contextual,House,HouseCand1IncumbentNum,,,,hide,
26,Contextual,House,HouseCand1Name,,,,hide,
27,Contextual,House,HouseCand1Party,,,,hide,
28,Contextual,House,HouseCand2Gender,,,,hide,
29,Contextual,House,HouseCand2IncumbentNum,,,,hide,
30,Contextual,House,HouseCand2Name,,,,hide,
31,Contextual,House,HouseCand2Party,,,,hide,
32,Contextual,House,HouseCand3Gender,,,,hide,
33,Contextual,House,HouseCand3Name,,,,hide,
34,Contextual,House,HouseCand3Party,,,,hide,
35,Contextual,Legislature,LegName,,,,hide,
36,Contextual,Legislature,LowerChamberName,,,,hide,
37,Contextual,Senate,SenCand1Gender,,,,hide,
38,Contextual,Senate,SenCand1Incumbent,,,,hide,
39,Contextual,Senate,SenCand1Name,,,,hide,
40,Contextual,Senate,SenCand1Name2,,,,hide,
41,Contextual,Senate,SenCand1Party,,,,hide,
42,Contextual,Senate,SenCand1Party2,,,,hide,
43,Contextual,Senate,SenCand2Gender,,,,hide,
44,Contextual,Senate,SenCand2Incumbent,,,,hide,
45,Contextual,Senate,SenCand2Name,,,,hide,
46,Contextual,Senate,SenCand2Name2,,,,hide,
47,Contextual,Senate,SenCand2Party,,,,hide,
48,Contextual,Senate,SenCand2Party2,,,,hide,
49,Contextual,Senate,SenCand3Gender,,,,hide,
50,Contextual,Senate,SenCand3Name,,,,hide,
51,Contextual,Senate,SenCand3Name2,,,,hide,
52,Contextual,Senate,SenCand3Party,,,,hide,
53,Contextual,Senate,SenCand3Party2,,,,hide,
54,Geography,State,StateAbbr,State (pre),,,,
55,Administration,Response,CCEStake,Agreed to study,Do you agree to participate in the study?,,,
56,Administration,Identification,add_confirm,Confirm name and address,Is the name and address displayed above correct?,,,
57,Geography,Zip,inputzip,Zipcode of residence,"So that we can ask you about the news and events in your area, in what zip code do you currently reside?",,,
58,Demographics,Age,birthyr,Year of birth,In what year were you born?,,,
59,Demographics,Gender,gender,Gender,Are you male or female?,,,
