congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
113,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-41.04464,0.882,327,11,
113,House,20300,41,1,AL,200,1,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-41.88718,0.888,354,17,
113,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.335,0.437,-140.39336,0.86926,1002,60,1.0
113,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.393,0.413,-160.13767,0.85257,1004,79,1.0
113,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.36,0.661,-87.07915,0.91786,1016,33,1.0
113,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.595,-0.402,-202.53317,0.81846,1011,72,1.0
113,House,21376,41,1,AL,200,2,2,"BYRNE, Bradley",B001289,1955,,0.532,0.282,-38.72777,0.91875,457,14,1.0
113,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-134.43974,0.874,996,66,
113,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.36,0.589,-88.77268,0.90979,939,37,1.0
113,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.278,0.005,-222.72536,0.79062,948,86,1.0
113,House,20304,61,8,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.75,0.093,-103.96095,0.89866,973,39,1.0
113,House,20305,61,3,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.596,-0.251,-123.12347,0.87844,950,44,1.0
113,House,20902,61,1,AZ,100,0,1,"KIRKPATRICK, Ann",K000368,1950,,-0.161,0.005,-275.81343,0.745,937,139,
113,House,21103,61,4,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.602,-0.312,-169.47787,0.82446,878,79,1.0
113,House,21105,61,6,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.639,-0.323,-118.95637,0.88667,989,51,1.0
113,House,21199,61,2,AZ,100,0,1,"BARBER, Ron",B001279,1945,,-0.123,0.001,-330.80405,0.716,992,144,
113,House,21300,61,9,AZ,100,0,1,"SINEMA, Kyrsten",S001191,1976,,-0.11,0.032,-298.38692,0.73978,990,109,1.0
113,House,29101,61,7,AZ,100,0,1,"PASTOR, Ed",P000099,1943,,-0.421,0.12,-153.07236,0.846,915,72,
113,House,29500,61,5,AZ,200,0,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-156.01219,0.854,988,76,
113,House,21106,42,1,AR,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.357,0.504,-105.98819,0.89422,948,44,1.0
113,House,21107,42,2,AR,200,0,1,"GRIFFIN, Tim",G000567,1968,,0.41,0.421,-129.51757,0.879,1002,73,
113,House,21108,42,3,AR,200,0,1,"WOMACK, Steve",W000809,1957,,0.329,0.596,-87.11745,0.91821,1021,35,1.0
113,House,21301,42,4,AR,200,0,1,"COTTON, Tom",C001095,1977,,0.619,0.124,-140.77822,0.87001,1011,69,1.0
113,House,14256,71,11,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-141.94614,0.86,941,66,
113,House,14280,71,33,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-106.7633,0.894,954,49,
113,House,15448,71,12,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.493,-0.204,-104.52105,0.89294,923,44,1.0
113,House,15621,71,48,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.628,-0.4,-222.21288,0.79822,986,103,1.0
113,House,20103,71,17,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-109.97685,0.89,944,62,
113,House,20104,71,28,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.346,-0.131,-98.73601,0.90678,1009,30,1.0
